Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
GrassRMA,M=32 efC=200 ef=10,64,0.6595017381228273,0.8736964078794901,469.2028397420072,1.906797808012925,0.0,0.04563481197692454,0.044041;0.046314;0.045947;0.045599;0.045635,13.219818069792739,75644.00619740738,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=20,64,0.7965237543453071,0.9356894553881807,469.2028397420072,1.906797808012925,0.0,0.06639684597030282,0.066888;0.065839;0.066397;0.067421;0.066259,19.234312274131756,51990.42137549679,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=50,64,0.9003476245654692,0.9788528389339514,469.2028397420072,1.906797808012925,0.0,0.11528814397752285,0.115733;0.115302;0.114986;0.115051;0.115288,33.397492461623074,29942.367713656826,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=100,64,0.943279258400927,0.9921784472769409,469.2028397420072,1.906797808012925,0.0,0.191839698003605,0.191707;0.191453;0.191944;0.191992;0.191840,55.57349304855301,17994.19012813047,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=200,64,0.9660486674391657,0.9982618771726536,469.2028397420072,1.906797808012925,0.0,0.3361653889878653,0.335698;0.336643;0.336472;0.336165;0.335794,97.38278939393548,10268.754943491842,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=400,64,0.9779837775202781,0.9994206257242179,469.2028397420072,1.906797808012925,0.0,0.6102752750157379,0.610582;0.610275;0.609995;0.610629;0.610078,176.78889774499936,5656.463798096653,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=800,64,0.9860660486674392,0.9997103128621089,469.2028397420072,1.906797808012925,0.0,1.1308864890015684,1.131365;1.130182;1.130311;1.132070;1.130886,327.60327027855396,3052.4725810878554,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=1600,64,0.9914542294322132,1.0,469.2028397420072,1.906797808012925,0.0,2.106054407020565,2.107825;2.106054;2.103831;2.108181;2.105704,610.0968734126782,1639.0839612180503,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=3200,64,0.994351100811124,1.0,469.2028397420072,1.906797808012925,0.0,3.8847718799952418,3.880821;3.884811;3.884772;3.884422;3.888281,1125.3684472755626,888.5978653666089,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=6400,64,0.9966396292004635,1.0,469.2028397420072,1.906797808012925,0.0,7.087364865001291,7.087164;7.091362;7.087365;7.086611;7.090500,2053.118442932008,487.0639604074301,,4.660976409912109,0,3452,10,True,nid006818,57783569
GrassRMA,M=32 efC=200 ef=12800,64,0.998117033603708,1.0,469.2028397420072,1.906797808012925,0.0,12.736733109981287,12.741115;12.736733;12.722068;12.721161;12.743691,3689.667760713003,271.0271126977451,,4.660976409912109,0,3452,10,True,nid006818,57783569
