Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
GrassRMA	M=32 efC=200 ef=10	0.6595017381228273	0.8736964078794901	75644.00619740738	0.04563481197692454	469.2028397420072	4.660976409912109	64
GrassRMA	M=32 efC=400 ef=10	0.6941193511008111	0.9113557358053302	63031.42711864269	0.054766330984421074	1044.2557734290021	4.417972564697266	64
GrassRMA	M=32 efC=800 ef=10	0.7000869061413674	0.925260718424102	62692.25152043718	0.05506262602284551	2006.0147364489967	4.41864013671875	64
GrassRMA	M=32 efC=1600 ef=10	0.7081981460023175	0.9356894553881807	56487.517780587375	0.06111084599979222	3620.935710221005	4.431697845458984	64
GrassRMA	M=32 efC=200 ef=20	0.7965237543453071	0.9356894553881807	51990.42137549679	0.06639684597030282	469.2028397420072	4.660976409912109	64
GrassRMA	M=32 efC=800 ef=20	0.8286500579374276	0.9681344148319815	43003.505325997976	0.08027252601459622	2006.0147364489967	4.449592590332031	64
GrassRMA	M=32 efC=1600 ef=20	0.8334878331402086	0.9719003476245655	38347.66018689982	0.09001853002700955	3620.935710221005	4.464481353759766	64
GrassRMA	M=32 efC=200 ef=50	0.9003476245654692	0.9788528389339514	29942.367713656826	0.11528814397752285	469.2028397420072	4.660976409912109	64
GrassRMA	M=32 efC=400 ef=50	0.9198435689455389	0.9858053302433372	25098.83940682629	0.13753623998491094	1044.2557734290021	4.465938568115234	64
GrassRMA	M=32 efC=800 ef=50	0.924188876013905	0.9889918887601391	23410.195931215214	0.14745711698196828	2006.0147364489967	4.477638244628906	64
GrassRMA	M=32 efC=1600 ef=50	0.9292584009269989	0.9918887601390498	22190.4897046992	0.15556213702075183	3620.935710221005	4.481998443603516	64
GrassRMA	M=32 efC=200 ef=100	0.943279258400927	0.9921784472769409	17994.19012813047	0.191839698003605	469.2028397420072	4.660976409912109	64
GrassRMA	M=32 efC=400 ef=100	0.9561413673232908	0.9942062572421785	14680.931908291677	0.23513493704376742	1044.2557734290021	4.4847259521484375	64
GrassRMA	M=32 efC=800 ef=100	0.9622537659327925	0.9976825028968713	13499.465819284627	0.25571382202906534	2006.0147364489967	4.491115570068359	64
GrassRMA	M=32 efC=1600 ef=100	0.9659327925840093	0.9979721900347625	12792.647323636198	0.26984250504756346	3620.935710221005	4.481998443603516	64
GrassRMA	M=32 efC=400 ef=200	0.9761877172653535	0.9988412514484357	8227.667844396094	0.4195599610102363	1044.2557734290021	4.4882965087890625	64
GrassRMA	M=32 efC=800 ef=200	0.980098493626883	0.9997103128621089	7455.614767629931	0.46300675498787314	2006.0147364489967	4.498416900634766	64
GrassRMA	M=32 efC=1600 ef=200	0.9829953650057938	0.9997103128621089	7038.33462593297	0.4904569310019724	3620.935710221005	4.490253448486328	64
GrassRMA	M=32 efC=400 ef=400	0.9859791425260719	0.9997103128621089	4481.582488140018	0.770263631013222	1044.2557734290021	4.5080718994140625	64
GrassRMA	M=32 efC=800 ef=400	0.9892815758980301	1.0	4023.961619210388	0.8578610649565235	2006.0147364489967	4.5106201171875	64
GrassRMA	M=32 efC=1600 ef=400	0.9911645422943222	1.0	3799.883536761183	0.9084488949738443	3620.935710221005	4.501228332519531	64
GrassRMA	M=32 efC=800 ef=800	0.9937427578215527	1.0	2155.815972204868	1.6012498490163125	2006.0147364489967	4.53631591796875	64
GrassRMA	M=32 efC=400 ef=1600	0.9952491309385864	1.0	1292.3372689037744	2.671129342983477	1044.2557734290021	4.534488677978516	64
GrassRMA	M=32 efC=1600 ef=1600	0.9971320973348783	1.0	1089.5667309303958	3.168231831979938	3620.935710221005	4.522846221923828	64
GrassRMA	M=32 efC=1600 ef=6400	0.9990150637311703	1.0	326.3614195139334	10.577230621012859	3620.935710221005	4.556514739990234	64
PyANNS	graph=nq_splade_R32_L400 ef=80 budget=1.0	0.0	0.0	604039.1907217808	0.005714860977604985	688.3336675350438	13.010231018066406	64
PyANNS	graph=nq_splade_R32_L800 ef=80 budget=0.9	0.011819235225955968	0.025202780996523753	459922.2127538065	0.007505617046263069	1137.7928633789998	13.022201538085938	64
PyANNS	graph=nq_splade_R32_L400 ef=80 budget=0.9	0.013644264194669757	0.026361529548088066	453036.2095405822	0.007619699987117201	688.3336675350438	13.010231018066406	64
PyANNS	graph=nq_splade ef=80 budget=0.9	0.01590382387022016	0.030417149478563152	429423.8413716525	0.008038678031880409	2.5963155979989097	9.566394805908203	64
PyANNS	graph=nq_splade_R48_L800 ef=80 budget=0.9	0.01746813441483198	0.035052143684820396	357615.9259034818	0.009652813954744488	1724.0271129959729	13.344730377197266	64
PyANNS	graph=nq_splade_R32_L800 ef=150 budget=0.9	0.019669756662804173	0.035052143684820396	274582.03160083154	0.012571835017297417	1137.7928633789998	13.022201538085938	64
PyANNS	graph=nq_splade_R32_L1600 ef=150 budget=0.9	0.021436848203939745	0.03534183082271147	258943.15941596392	0.013331110996659845	1942.4017678920063	13.019866943359375	64
PyANNS	R=32 L=200 ef=80 budget=0.8	0.051100811123986095	0.10921205098493626	255731.49332044736	0.01349853299325332	413.6100737110246	13.023536682128906	64
PyANNS	graph=nq_splade_R32_L1600 ef=80 budget=0.8	0.058603707995365004	0.12340672074159907	217746.28390423005	0.015853313030675054	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade ef=80 budget=0.8	0.061964078794901505	0.126882966396292	214547.87487629653	0.016089648997876793	2.5963155979989097	9.566394805908203	64
PyANNS	graph=nq_splade_R48_L800 ef=80 budget=0.8	0.06335457705677867	0.13557358053302435	176035.44584080746	0.019609687034972012	1724.0271129959729	13.344730377197266	64
PyANNS	R=32 L=200 ef=150 budget=0.8	0.07960602549246813	0.1436848203939745	143339.4392729594	0.024082695017568767	413.6100737110246	13.023536682128906	64
PyANNS	graph=nq_splade ef=150 budget=0.8	0.08928157589803012	0.1581691772885284	133294.28731036987	0.025897583982441574	2.5963155979989097	9.566394805908203	64
PyANNS	graph=nq_splade_R48_L800 ef=150 budget=0.8	0.09275782155272307	0.16657010428736965	93414.56293270459	0.036953552975319326	1724.0271129959729	13.347347259521484	64
PyANNS	R=32 L=200 ef=300 budget=0.8	0.11129779837775203	0.1694669756662804	75642.51766091041	0.04563571000471711	413.6100737110246	13.023536682128906	64
PyANNS	graph=nq_splade ef=300 budget=0.8	0.12291425260718424	0.18366164542294322	65330.632538636215	0.052838918985798955	2.5963155979989097	9.568347930908203	64
PyANNS	graph=nq_splade_R48_L800 ef=300 budget=0.8	0.1253476245654693	0.18742757821552722	48800.44906189741	0.07073705398943275	1724.0271129959729	13.347347259521484	64
PyANNS	R=32 L=200 ef=80 budget=0.5	0.6081691772885284	0.7720162224797219	41265.86063903457	0.08365268399938941	413.6100737110246	13.023536682128906	64
PyANNS	graph=nq_splade_R32_L400 ef=80 budget=0.5	0.6449304750869062	0.805909617612978	39244.58046539556	0.08796119003091007	688.3336675350438	13.010231018066406	64
PyANNS	graph=nq_splade ef=80 budget=0.5	0.6554171494785631	0.8180764774044033	38131.60104253302	0.09052858798531815	2.5963155979989097	9.566394805908203	64
PyANNS	R=32 L=200 ef=80 budget=0.3	0.8212920046349942	0.9212050984936269	37937.306025300335	0.09099222801160067	413.6100737110246	13.023536682128906	64
PyANNS	R=32 L=200 ef=80 budget=0.15	0.8692352259559676	0.9614716106604867	37631.076623933404	0.0917326930211857	413.6100737110246	13.023536682128906	64
PyANNS	R=32 L=200 ef=80 budget=0.03	0.8821842410196987	0.9733487833140209	37168.187643837126	0.09287512302398682	413.6100737110246	13.023536682128906	64
PyANNS	graph=nq_splade ef=80 budget=0.2	0.899188876013905	0.9707415990730012	36147.7304828709	0.09549700503703207	2.5963155979989097	9.566394805908203	64
PyANNS	graph=nq_splade_R32_L1600 ef=80 budget=0.2	0.9024623406720742	0.9719003476245655	35859.07094476937	0.09626573999412358	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R32_L1600 ef=80 budget=0.1	0.9132966396292005	0.9800115874855156	35734.14143780245	0.09660229296423495	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade ef=80 budget=0.05	0.9162804171494786	0.9826187717265353	35661.34860429784	0.09679947997210547	2.5963155979989097	9.566394805908203	64
PyANNS	graph=nq_splade_R32_L1600 ef=80 budget=0.05	0.9181633835457705	0.9826187717265353	34956.52944356034	0.09875122201628983	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R32_L1600 ef=80 budget=0.02	0.919640787949015	0.9834878331402086	33063.05911339167	0.10440655198181048	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R48_L800 ef=80 budget=0.15	0.9358922363847045	0.9895712630359212	26120.309891451012	0.1321576969930902	1724.0271129959729	13.344730377197266	64
PyANNS	graph=nq_splade_R48_L800 ef=80 budget=0.05	0.9425840092699884	0.9944959443800695	26069.543224041754	0.13241505500627682	1724.0271129959729	13.344730377197266	64
PyANNS	graph=nq_splade_R32_L1600 ef=150 budget=0.15	0.9462050984936269	0.9913093858632677	24291.213419900458	0.14210899802856147	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R32_L1600 ef=150 budget=0.1	0.9483487833140208	0.9913093858632677	23584.381971418865	0.1463680500164628	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R32_L1600 ef=150 budget=0.07	0.9506083429895713	0.9936268829663963	22645.130017923275	0.1524389569531195	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R32_L1600 ef=150 budget=0.05	0.9526940903823871	0.9947856315179606	21631.88265561867	0.15957926801638678	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R48_L800 ef=150 budget=0.2	0.9590961761297798	0.9956546929316339	16941.326947697376	0.20376207900699228	1724.0271129959729	13.347347259521484	64
PyANNS	graph=nq_splade_R48_L800 ef=150 budget=0.15	0.9640498261877173	0.9973928157589803	16681.72838958214	0.20693299395497888	1724.0271129959729	13.347347259521484	64
PyANNS	graph=nq_splade_R48_L800 ef=150 budget=0.07	0.965034762456547	0.9979721900347625	16636.0086821086	0.20750169502571225	1724.0271129959729	13.347347259521484	64
PyANNS	graph=nq_splade ef=300 budget=0.15	0.9670625724217845	0.9979721900347625	14168.969055381564	0.2436309929471463	2.5963155979989097	9.568347930908203	64
