Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
GrassRMA	M=32 efC=200 ef=10	0.6672943221320974	0.8783314020857474	74307.54126037442	0.04645558097399771	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=20	0.7995944380069525	0.9342410196987254	49747.50117732691	0.06939041998703033	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=50	0.9031865585168019	0.9794322132097335	29776.86388438913	0.11592893104534596	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=100	0.9451332560834299	0.9930475086906141	17961.770595801787	0.19218595302663743	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=200	0.9663383545770567	0.9979721900347625	10212.708106109425	0.33801024802960455	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=400	0.9788818076477405	0.9994206257242179	5647.750639920705	0.6112167870160192	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=800	0.9861819235225956	0.9997103128621089	3047.355261659289	1.132785547990352	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=1600	0.9912804171494786	1.0	1635.1764167949652	2.111087198019959	469.4670770659577	4.662147521972656	64
GrassRMA	M=32 efC=200 ef=3200	0.9945538818076477	1.0	885.3144173825856	3.8991796950576827	469.4670770659577	4.662147521972656	64
PyANNS	ef=80 budget=0.8	0.061964078794901505	0.126882966396292	197927.98242876062	0.017440687050111592	1346.2521231869468	12.655120849609375	64
PyANNS	ef=150 budget=0.8	0.08928157589803012	0.1581691772885284	109686.37808152616	0.03147154697217047	1346.2521231869468	12.655120849609375	64
PyANNS	ef=300 budget=0.8	0.12291425260718424	0.18366164542294322	61313.13379162014	0.05630115093663335	1346.2521231869468	12.655120849609375	64
PyANNS	ef=80 budget=0.5	0.6554171494785631	0.8180764774044033	37456.92478462431	0.092159194056876	1346.2521231869468	12.655120849609375	64
PyANNS	ef=80 budget=0.07	0.9159907300115875	0.9837775202780996	35839.91636541087	0.09631718904711306	1346.2521231869468	12.655120849609375	64
PyANNS	ef=80 budget=0.05	0.9162804171494786	0.9826187717265353	35436.41478421434	0.09741391788702458	1346.2521231869468	12.655120849609375	64
PyANNS	ef=80 budget=0.03	0.91720741599073	0.9837775202780996	34447.672298425525	0.1002099639736116	1346.2521231869468	12.655120849609375	64
PyANNS	ef=80 budget=0.02	0.917468134414832	0.9834878331402086	33619.18634534647	0.10267946298699826	1346.2521231869468	12.655120849609375	64
PyANNS	ef=150 budget=0.2	0.9391367323290846	0.9881228273464658	24780.212017493188	0.13930469995830208	1346.2521231869468	12.655120849609375	64
PyANNS	ef=150 budget=0.15	0.9450753186558517	0.9915990730011588	24548.21506706176	0.14062122197356075	1346.2521231869468	12.655120849609375	64
PyANNS	ef=150 budget=0.1	0.9466685979142526	0.9930475086906141	24150.839325841487	0.142934990930371	1346.2521231869468	12.655120849609375	64
PyANNS	ef=150 budget=0.07	0.9486674391657011	0.9947856315179606	22935.136751735772	0.15051141998264939	1346.2521231869468	12.655120849609375	64
PyANNS	ef=150 budget=0.01	0.9486964078794902	0.9942062572421785	20402.20585886191	0.16919739090371877	1346.2521231869468	12.655120849609375	64
PyANNS	ef=300 budget=0.2	0.9626013904982619	0.9953650057937428	14138.39784670941	0.24415779195260257	1346.2521231869468	12.655120849609375	64
PyANNS	ef=300 budget=0.15	0.9670625724217845	0.9979721900347625	14046.93162285294	0.24574761895928532	1346.2521231869468	12.655120849609375	64
PyANNS	ef=300 budget=0.1	0.9679606025492468	0.9982618771726536	13636.008530722183	0.25315325905103236	1346.2521231869468	12.655120849609375	64
PyANNS	ef=600 budget=0.3	0.9733198146002318	0.9988412514484357	7030.058352005461	0.4910343310330063	1346.2521231869468	12.664539337158203	64
PyANNS	ef=600 budget=0.15	0.9797798377752028	1.0	6836.248092140095	0.5049553429707885	1346.2521231869468	12.664539337158203	64
PyANNS	ef=600 budget=0.1	0.9800695249130938	1.0	6692.513326187193	0.5158002430107445	1346.2521231869468	12.664539337158203	64
PyANNS	ef=600 budget=0.07	0.9801853997682503	1.0	6679.992954969047	0.5167670120717958	1346.2521231869468	12.664539337158203	64
SEISMIC	n_postings=2000 summary_energy=0.4 query_cut=3 heap_factor=0.9	0.7923522595596756	0.9863847045191193	105729.38712457786	0.03264939005021006	82.55562368500978	5.758502960205078	64
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=3 heap_factor=0.9	0.8298957126303592	0.9936268829663963	100662.72075971829	0.03429273492656648	123.14162900205702	5.455936431884766	64
SEISMIC	n_postings=2000 summary_energy=0.4 query_cut=5 heap_factor=0.9	0.8419756662804172	0.9953650057937428	90310.71952140462	0.03822359093464911	82.55562368500978	5.758502960205078	64
SEISMIC	n_postings=6000 summary_energy=0.4 query_cut=3 heap_factor=0.9	0.8532734646581692	0.9959443800695249	89726.44197524332	0.03847249399404973	175.17059593100566	7.645214080810547	64
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=5 heap_factor=0.9	0.8785921205098494	0.9985515643105446	84345.10196458641	0.040927094989456236	123.14162900205702	5.475639343261719	64
SEISMIC	n_postings=2000 summary_energy=0.5 query_cut=3 heap_factor=0.9	0.879316338354577	0.9918887601390498	80447.67127915978	0.042909880983643234	82.45542288792785	4.555652618408203	64
SEISMIC	n_postings=6000 summary_energy=0.4 query_cut=5 heap_factor=0.9	0.9007821552723059	0.9994206257242179	74121.37133541056	0.04657226300332695	175.17059593100566	7.662635803222656	64
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=10 heap_factor=0.9	0.9077636152954809	1.0	73533.16621115876	0.046944802976213396	123.14162900205702	5.48486328125	64
SEISMIC	n_postings=3500 summary_energy=0.5 query_cut=3 heap_factor=0.9	0.9168887601390499	0.9971031286210892	73027.77656211876	0.04726968507748097	124.87677235505544	6.1865692138671875	64
SEISMIC	n_postings=2000 summary_energy=0.5 query_cut=5 heap_factor=0.9	0.923117033603708	0.9985515643105446	68765.47868983223	0.05019960692152381	82.45542288792785	4.565982818603516	64
SEISMIC	n_postings=6000 summary_energy=0.4 query_cut=10 heap_factor=0.9	0.9312862108922364	0.9997103128621089	66085.42885680485	0.05223541799932718	175.17059593100566	7.670276641845703	64
SEISMIC	n_postings=3500 summary_energy=0.5 query_cut=5 heap_factor=0.9	0.9542294322132098	0.9994206257242179	65031.10677485807	0.05308228894136846	124.87677235505544	6.19659423828125	64
SEISMIC	n_postings=3500 summary_energy=0.5 query_cut=10 heap_factor=0.9	0.9708285052143685	1.0	54778.742312539594	0.0630171459633857	124.87677235505544	6.2089385986328125	64
SEISMIC	n_postings=6000 summary_energy=0.5 query_cut=10 heap_factor=0.9	0.984385863267671	1.0	41712.00567398377	0.08275794808287174	173.0762869369937	8.78133773803711	64
SEISMIC	n_postings=3500 summary_energy=0.5 query_cut=10 heap_factor=0.8	0.9849942062572422	1.0	38056.73531321386	0.09070667705964297	124.87677235505544	6.211395263671875	64
SEISMIC	n_postings=3500 summary_energy=0.5 query_cut=20 heap_factor=0.8	0.988702201622248	1.0	29347.973244627115	0.1176231139106676	124.87677235505544	6.21697998046875	64
SEISMIC	n_postings=6000 summary_energy=0.5 query_cut=10 heap_factor=0.8	0.9929316338354577	1.0	27415.804099480123	0.12591277598403394	173.0762869369937	8.796295166015625	64
SEISMIC	n_postings=6000 summary_energy=0.5 query_cut=20 heap_factor=0.8	0.9953939745075319	1.0	20402.13783276266	0.16919795505236834	173.0762869369937	8.802650451660156	64
SEISMIC	n_postings=6000 summary_energy=0.5 query_cut=20 heap_factor=0.7	0.997856315179606	1.0	12205.040894027234	0.2828339560655877	173.0762869369937	8.807849884033203	64
SEISMIC	n_postings=6000 summary_energy=0.5 query_cut=30 heap_factor=0.7	0.9981749710312862	1.0	10134.797385354062	0.34060868399683386	173.0762869369937	8.813426971435547	64
SINDI	doc_prune=0.7 query_prune=0.5 n_cand=10	0.4398609502	0.9629	1849.98	1.865963	19.9574	7.75	64
SINDI	doc_prune=0.7 query_prune=0.5 n_cand=20	0.5766512167	0.9812	1824.94	1.891566	19.9574	7.75	64
SINDI	doc_prune=0.7 query_prune=0.5 n_cand=50	0.7216396292	0.9945	1751.92	1.970405	19.9574	7.75	64
SINDI	doc_prune=0.7 query_prune=0.4 n_cand=50	0.7232908459	0.9942	1530.58	2.255358	19.9574	7.75	64
SINDI	doc_prune=0.7 query_prune=0.3 n_cand=50	0.7247972190	0.9948	1306.19	2.642797	19.9574	7.75	64
SINDI	doc_prune=0.7 query_prune=0.2 n_cand=50	0.7252896871	0.9948	1162.92	2.968384	19.9574	7.75	64
SINDI	doc_prune=0.7 query_prune=0.1 n_cand=50	0.7253476246	0.9948	1046.85	3.297503	19.9574	7.75	64
SINDI	doc_prune=0.6 query_prune=0.5 n_cand=50	0.8238122827	0.9986	1041.72	3.313762	20.7350	7.75	64
SINDI	doc_prune=0.6 query_prune=0.4 n_cand=50	0.8251738123	0.9986	903.37	3.821231	20.7350	7.75	64
SINDI	doc_prune=0.6 query_prune=0.3 n_cand=50	0.8260139050	0.9986	786.55	4.388759	20.7350	7.75	64
SINDI	doc_prune=0.6 query_prune=0.2 n_cand=50	0.8268829664	0.9988	700.20	4.930021	20.7350	7.75	64
SINDI	doc_prune=0.5 query_prune=0.5 n_cand=50	0.9038238702	1.0000	642.66	5.371443	21.6471	7.75	64
SINDI	doc_prune=0.5 query_prune=0.4 n_cand=50	0.9044611819	1.0000	555.76	6.211271	21.6471	7.75	64
SINDI	doc_prune=0.5 query_prune=0.3 n_cand=50	0.9053592121	1.0000	490.41	7.039058	21.6471	7.75	64
SINDI	doc_prune=0.5 query_prune=0.2 n_cand=50	0.9058516802	1.0000	438.39	7.874285	21.6471	7.75	64
SINDI	doc_prune=0.4 query_prune=0.5 n_cand=50	0.9566048667	1.0000	413.26	8.353160	22.7666	7.75	64
SINDI	doc_prune=0.4 query_prune=0.4 n_cand=50	0.9582560834	1.0000	359.22	9.609582	22.7666	7.75	64
SINDI	doc_prune=0.4 query_prune=0.3 n_cand=50	0.9585747393	1.0000	317.48	10.873167	22.7666	7.75	64
SINDI	doc_prune=0.3 query_prune=0.5 n_cand=50	0.9861529548	1.0000	285.05	12.110305	22.6650	10.27	64
SINDI	doc_prune=0.3 query_prune=0.4 n_cand=50	0.9867612978	1.0000	246.79	13.987464	22.6650	10.27	64
SINDI	doc_prune=0.3 query_prune=0.3 n_cand=50	0.9874565469	1.0000	218.01	15.834076	22.6650	10.27	64
SINDI	doc_prune=0.2 query_prune=0.5 n_cand=50	0.9976245655	1.0000	207.28	16.653725	23.8413	10.27	64
SINDI	doc_prune=0.2 query_prune=0.4 n_cand=50	0.9979721900	1.0000	177.85	19.409394	23.8413	10.27	64
SINDI	doc_prune=0.1 query_prune=0.5 n_cand=50	0.9995075319	1.0000	153.45	22.496571	26.2247	10.27	64
SINDI	doc_prune=0.1 query_prune=0.1 n_cand=50	0.9996523754	1.0000	120.99	28.531677	26.2247	10.27	64
SparseHNSW	M=32 efC=200 ef=20 alpha=0.7 beta=2 q=u8	0.8112688297	0.9189	275191.33	0.012544	139.2847	4.34	64
SparseHNSW	M=32 efC=200 ef=30 alpha=0.6 beta=3 q=u8 seedT=8 seedH=8 seedS=4	0.8651506373	0.9777	240272.85	0.014367	111.8080	4.24	64
SparseHNSW	M=32 efC=200 ef=25 alpha=0.65 beta=3 q=u8 seedT=8 seedH=8 seedS=4	0.8903244496	0.9812	227599.39	0.015167	124.9959	4.29	64
SparseHNSW	M=32 efC=200 ef=30 alpha=0.7 beta=3 q=u8 seedT=8 seedH=8 seedS=4	0.9068655852	0.9809	214449.90	0.016097	139.2847	4.34	64
SparseHNSW	M=32 efC=200 ef=35 alpha=0.75 beta=3 q=u8 seedT=8 seedH=8 seedS=4	0.9223348783	0.9855	187171.28	0.018443	154.7343	4.39	64
SparseHNSW	M=32 efC=200 ef=50 alpha=0.725 beta=5 q=u8 seedT=8 seedH=8 seedS=4	0.9405851680	0.9884	140639.64	0.024545	146.7206	4.36	64
SparseHNSW	M=32 efC=200 ef=60 alpha=0.75 beta=4 q=u8 seedT=8 seedH=8 seedS=4	0.9505793743	0.9928	115951.77	0.029771	154.7343	4.39	64
SparseHNSW	M=32 efC=200 ef=50 alpha=0.75 beta=8 q=u8 seedT=8 seedH=8 seedS=4 pat=256	0.9614426419	0.9959	84876.20	0.040671	149.1896	4.39	64
