alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.85,8,20,1,0.073013,0.071641,1.0192,1.0230,0.947943,0.948320,47279.25,48184.70
0.85,8,50,1,0.073012,0.071502,1.0211,1.0250,0.947943,0.948320,47279.90,48278.37
0.85,8,100,1,0.085751,0.084805,1.0112,1.0150,0.955968,0.956924,40256.09,40705.15
0.85,8,200,1,0.147978,0.146195,1.0122,1.0161,0.973146,0.973291,23327.79,23612.30
0.85,8,400,1,0.266865,0.266041,1.0031,1.0069,0.983314,0.983893,12935.38,12975.44
0.85,8,800,1,0.504974,0.505802,0.9984,1.0022,0.989455,0.989629,6836.00,6824.80
0.85,8,1600,1,0.973450,0.975919,0.9975,1.0013,0.992845,0.992932,3546.15,3537.18
0.85,8,3200,1,1.830548,1.843024,0.9932,0.9970,0.994930,0.994959,1885.77,1873.01
0.9,1,10,0,0.016192,0.016408,0.9868,0.9906,0.705330,0.707300,213191.70,210385.18
0.9,1,20,0,0.026450,0.026703,0.9905,0.9943,0.801362,0.804954,130510.40,129273.86
0.9,1,50,0,0.054395,0.053838,1.0103,1.0142,0.872972,0.872683,63461.72,64118.28
0.9,1,100,0,0.091503,0.091315,1.0021,1.0059,0.906837,0.907329,37725.54,37803.21
0.9,1,200,0,0.156372,0.155905,1.0030,1.0068,0.920857,0.920800,22075.56,22141.69
0.9,1,400,0,0.282290,0.283923,0.9942,0.9980,0.928998,0.929374,12228.56,12158.23
0.9,1,800,0,0.542615,0.543617,0.9982,1.0020,0.932474,0.932879,6361.79,6350.06
0.9,1,1600,0,1.047279,1.053150,0.9944,0.9982,0.935342,0.935371,3296.16,3277.79
0.9,1,3200,0,1.980381,1.990506,0.9949,0.9987,0.936530,0.936530,1743.10,1734.23
0.9,2,10,1,0.028091,0.027571,1.0189,1.0227,0.838094,0.840875,122886.33,125204.02
0.9,2,20,1,0.027686,0.027104,1.0215,1.0254,0.838094,0.840875,124683.96,127361.28
0.9,2,50,1,0.055369,0.054492,1.0161,1.0200,0.918337,0.920220,62345.36,63348.75
0.9,2,100,1,0.092431,0.091433,1.0109,1.0148,0.957590,0.959849,37346.78,37754.42
0.9,2,200,1,0.158805,0.157056,1.0111,1.0150,0.972827,0.974508,21737.35,21979.42
0.9,2,400,1,0.289091,0.285340,1.0131,1.0170,0.983778,0.984357,11940.88,12097.85
0.9,2,800,1,0.551178,0.551339,0.9997,1.0035,0.987572,0.988702,6262.95,6261.12
0.9,2,1600,1,1.066419,1.063854,1.0024,1.0062,0.991251,0.991367,3237.00,3244.81
0.9,2,3200,1,2.013539,2.012536,1.0005,1.0043,0.992874,0.993163,1714.39,1715.25
0.9,3,10,1,0.038608,0.037553,1.0281,1.0320,0.883111,0.881460,89411.52,91923.41
0.9,3,20,1,0.038209,0.037276,1.0250,1.0289,0.883111,0.881460,90345.21,92606.50
0.9,3,50,1,0.055620,0.055409,1.0038,1.0076,0.919554,0.917903,62064.01,62300.35
0.9,3,100,1,0.092732,0.092366,1.0040,1.0078,0.959154,0.959125,37225.55,37373.06
0.9,3,200,1,0.157019,0.158176,0.9927,0.9965,0.974652,0.975145,21984.60,21823.79
0.9,3,400,1,0.284942,0.287000,0.9928,0.9966,0.984791,0.985487,12114.75,12027.87
0.9,3,800,1,0.546393,0.549978,0.9935,0.9973,0.989137,0.989397,6317.80,6276.61
0.9,3,1600,1,1.053334,1.060109,0.9936,0.9974,0.992439,0.992468,3277.21,3256.27
0.9,3,3200,1,1.990676,2.011778,0.9895,0.9933,0.994235,0.994438,1734.08,1715.90
0.9,4,10,1,0.047536,0.046912,1.0133,1.0172,0.903911,0.906518,72618.65,73584.58
0.9,4,20,1,0.047472,0.046761,1.0152,1.0191,0.903911,0.906518,72716.55,73822.20
0.9,4,50,1,0.056138,0.054948,1.0217,1.0256,0.919380,0.921524,61491.32,62823.03
0.9,4,100,1,0.092655,0.091652,1.0109,1.0148,0.959038,0.958922,37256.49,37664.21
0.9,4,200,1,0.158067,0.158335,0.9983,1.0021,0.975087,0.975000,21838.84,21801.88
0.9,4,400,1,0.285130,0.286793,0.9942,0.9980,0.985255,0.985110,12106.76,12036.56
0.9,4,800,1,0.546338,0.548731,0.9956,0.9994,0.989426,0.989224,6318.43,6290.88
0.9,4,1600,1,1.055500,1.061201,0.9946,0.9984,0.992671,0.992700,3270.49,3252.92
0.9,4,3200,1,1.992050,2.005013,0.9935,0.9973,0.994525,0.994554,1732.89,1721.68
0.9,5,10,1,0.055759,0.055085,1.0122,1.0161,0.921611,0.919873,61909.29,62666.79
0.9,5,20,1,0.056082,0.055141,1.0171,1.0209,0.921611,0.919873,61552.73,62603.14
0.9,5,50,1,0.056161,0.055190,1.0176,1.0215,0.921611,0.919873,61466.14,62547.56
0.9,5,100,1,0.093426,0.090824,1.0286,1.0326,0.959965,0.958980,36949.03,38007.58
0.9,5,200,1,0.159039,0.157108,1.0123,1.0162,0.975463,0.974594,21705.37,21972.15
0.9,5,400,1,0.287413,0.285861,1.0054,1.0093,0.985603,0.985052,12010.59,12075.80
0.9,5,800,1,0.549746,0.544931,1.0088,1.0127,0.989600,0.989166,6279.26,6334.75
0.9,5,1600,1,1.060566,1.051346,1.0088,1.0126,0.992758,0.992700,3254.87,3283.41
0.9,5,3200,1,2.004725,1.986654,1.0091,1.0129,0.994525,0.994612,1721.93,1737.59
1.0,1,10,0,0.025750,0.025782,0.9988,1.0026,0.735689,0.738007,134058.25,133891.86
1.0,1,20,0,0.040963,0.040989,0.9994,1.0032,0.846958,0.848320,84271.17,84217.72
1.0,1,50,0,0.076333,0.075993,1.0045,1.0083,0.925319,0.926101,45222.90,45425.24
1.0,1,100,0,0.120069,0.120302,0.9981,1.0019,0.954085,0.955098,28750.14,28694.45
1.0,1,200,0,0.177529,0.175252,1.0130,1.0169,0.973754,0.974537,19444.71,19697.35
1.0,1,400,0,0.343208,0.335047,1.0244,1.0283,0.983864,0.984038,10058.04,10303.03
1.0,1,800,0,0.699764,0.697741,1.0029,1.0067,0.989253,0.989774,4933.09,4947.39
1.0,1,1600,0,1.392347,1.392316,1.0000,1.0038,0.992613,0.992352,2479.27,2479.32
1.0,1,3200,0,2.682146,2.664737,1.0065,1.0104,0.994757,0.994641,1287.03,1295.44
