alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.6,2,10,1,0.013587,0.012723,1.0679,1.0720,0.756692,0.760081,254066.39,271319.66
0.6,2,20,1,0.013190,0.012431,1.0611,1.0651,0.756692,0.760081,261713.42,277692.86
0.6,2,50,1,0.026450,0.025896,1.0214,1.0253,0.817932,0.822335,130510.40,133302.44
0.6,2,100,1,0.047352,0.046722,1.0135,1.0174,0.848320,0.848204,72900.83,73883.82
0.6,2,200,1,0.085926,0.085633,1.0034,1.0073,0.861790,0.861790,40174.10,40311.56
0.6,2,400,1,0.159575,0.160423,0.9947,0.9985,0.868627,0.868975,21632.46,21518.11
0.6,2,800,1,0.301937,0.303585,0.9946,0.9984,0.871842,0.872306,11432.85,11370.79
0.6,2,1600,1,0.581259,0.585594,0.9926,0.9964,0.873610,0.874073,5938.83,5894.87
0.6,2,3200,1,1.105921,1.111812,0.9947,0.9985,0.875290,0.875463,3121.38,3104.84
0.6,3,10,1,0.018721,0.017767,1.0537,1.0577,0.827868,0.829577,184391.86,194292.79
0.6,3,20,1,0.018219,0.017317,1.0521,1.0561,0.827868,0.829577,189472.53,199341.69
0.6,3,50,1,0.027040,0.026056,1.0378,1.0417,0.858720,0.861761,127662.72,132483.88
0.6,3,100,1,0.048071,0.047107,1.0205,1.0244,0.891715,0.890324,71810.45,73279.98
0.6,3,200,1,0.086806,0.086124,1.0079,1.0118,0.906663,0.905852,39766.84,40081.74
0.6,3,400,1,0.161364,0.161132,1.0014,1.0053,0.913065,0.912167,21392.63,21423.43
0.6,3,800,1,0.303842,0.305058,0.9960,0.9998,0.916483,0.916657,11361.17,11315.88
0.6,3,1600,1,0.584559,0.588305,0.9936,0.9974,0.918801,0.918859,5905.31,5867.70
0.6,3,3200,1,1.110356,1.116296,0.9947,0.9985,0.920307,0.920394,3108.91,3092.37
